timestamp,stream,waveform,gas,lead,sample_count,min,max,mean
2026-04-22T11:35:25.289000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,pressure,,,10,-0.14,-0.1,-0.122
2026-04-22T11:35:25.637000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,pressure,,,10,-0.13,-0.11,-0.121
2026-04-22T11:35:26.091000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,pressure,,,10,-0.13,-0.09,-0.107
2026-04-22T11:35:26.439000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,pressure,,,10,-0.14,-0.1,-0.12
2026-04-22T11:35:26.835000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,pressure,,,10,-0.14,-0.12,-0.134
2026-04-22T11:35:27.287000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,flow,,,10,0.0,0.0,0.0
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,volume,,,10,0.0,0.0,0.0
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,pressure,,,10,-0.14,-0.1,-0.12
2026-04-22T11:35:27.635000,SBX_ANAES_WAVE,inspExpMarker,,,0,,,
2026-04-22T11:35:28.035000,SBX_ANAES_WAVE,respGas,,,0,,,
2026-04-22T11:35:28.035000,SBX_ANAES_WAVE,respGas,,,0,,,
