time,event,type,missing_in,classification,reason,rule_id
2026-04-22T00:42:37,QuickKey: Pinsp setting changed from PCV to 17,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:42:43,KeyPressed on : Quick Key: PCV PInsp - 17,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:42:45,QuickKey: Pinsp setting changed from 17 to 20,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:42:46,KeyPressed on : Quick Key: PCV RR - 12,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:42:47,QuickKey: RR setting changed from 12 to 15,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:42:48,KeyPressed on : Quick Key: PCV IE - 1:2,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:42:50,QuickKey: I:E setting changed from 1:2 to 1:2.3,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:42:50,KeyPressed on : Quick Key: PCV PEEP - Off,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:42:52,QuickKey: PEEP setting changed from Off to 6,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:42:52,KeyPressed on : Quick Key: PCV Pmax - 40,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:42:54,QuickKey: Pmax setting changed from 40 to 43,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:02,KeyPressed on : Quick Key: PCV Pmax - 43,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:04,QuickKey: Pmax setting changed from 43 to 41,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:05,KeyPressed on : Menu: PCV button is pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:05,Menu Opened: Vent,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:06, PCV-VG button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:07,QuickKey: TV setting changed from 41 to 675,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:09,KeyPressed on : Quick Key: PCV_VG IE - 1:2.3,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:10,QuickKey: I:E setting changed from 1:2.3 to 1:2.5,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:11,KeyPressed on : Quick Key: PCV_VG TV - 675,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:12,QuickKey: TV setting changed from 675 to 600,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:13,KeyPressed on : Quick Key: PCV_VG RR - 15,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:43:15,QuickKey: RR setting changed from 15 to 18,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:16,KeyPressed on : Quick Key: PCV_VG Pmax - 41,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:18,QuickKey: Pmax setting changed from 41 to 44,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:19,KeyPressed on : Menu: PCV-VG button is pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:19,Menu Opened: Vent,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:20, SIMV VCV button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:22,QuickKey: TV setting changed from 6 to 600,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:24,KeyPressed on : Quick Key: SIMV_VCV mechRR - 18,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:43:25,QuickKey: RR setting changed from 18 to 20,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:26,KeyPressed on : Quick Key: SIMV_VCV FlowTrigger - 2.0,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:27,QuickKey: Flow Trigger setting changed from 2.0 to 3.5,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:28,KeyPressed on : Quick Key: SIMV_VCV PEEP - 6,USER_ACTION,"SBX,DOCOM,HL7",POTENTIAL_DEFECT,Configuration changes must be reflected in Do-Com,DEF_DOCOM_001
2026-04-22T00:43:29,QuickKey: PEEP setting changed from 6 to 9,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:34,KeyPressed on : Et Control Button Pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:34,Menu Opened: Et Control,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:34,KeyPressed on : ETControl Menu Opened,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:37,KeyPressed on : ETControl Menu : On Button Clicked,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:44,KeyPressed on : Et O2 Presets Opened,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:44,KeyPressed on : Et O2 Quick Key Selected,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:45,KeyPressed on : Et O2 Presets Closed,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:45,QuickKey: Et O2 setting changed from 25 to 35,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:49,KeyPressed on : Min Flow Presets Opened,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:49,KeyPressed on : Min. Flow Quick Key Selected,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:49,KeyPressed on : Min Flow Presets Closed,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:43:51,QuickKey: Min. Flow setting changed from 0.50 to 0.95,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:43:57,KeyPressed on : Menu: SIMV VCV button is pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:43:57,Menu Opened: Vent,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:00, VCV button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:03,QuickKey: TV setting changed from 9 to 600,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:44:11,KeyPressed on : Et Control Button Pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:11,Menu Opened: Et Control,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:13,KeyPressed on : Min. Flow Quick Key Deselected.,USER_ACTION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:44:13,KeyPressed on : ETControl Menu : Off Button Clicked,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:22,Spirometry button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:22,Menu Opened: Spirometry,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:36,Spirometry CloseIcon button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:38,Spirometry button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:44:38,Menu Opened: Spirometry,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
