timestamp,event,type,SBX,DOCOM,HL7
2026-06-03T17:39:43,Menu Opened: Vent,USER_ACTION,False,False,False
2026-06-03T17:39:45,PSVPro button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:39:54,KeyPressed on : Ventilator Setting: LeftKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:39:54,KeyPressed on : Ventilator Setting: LeftKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:39:55,Alarms On/Off button is pressed.,ALARM,False,False,False
2026-06-03T17:39:55,Menu Opened: Auto Limits,USER_ACTION,False,False,False
2026-06-03T17:39:58,Cancel button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:00,Alarms On/Off button is pressed.,ALARM,False,False,False
2026-06-03T17:40:00,Menu Opened: Auto Limits,USER_ACTION,False,False,False
2026-06-03T17:40:02,Case Default Limits button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:05,Confirm button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:07,Next Page button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:08,Menu Opened: Multi Step,USER_ACTION,False,False,False
2026-06-03T17:40:10,Adjust Settings button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:12,Close button is pressed.,USER_ACTION,False,False,False
2026-06-03T17:40:14,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:15,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:15,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:15,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:15,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:16,KeyPressed on : Quick Key: PSVPro PEEP - Off,USER_ACTION,False,False,False
2026-06-03T17:40:26,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
2026-06-03T17:40:26,KeyPressed on : Ventilator Setting: RightKeyPressed on ventilator editableQKkey,USER_ACTION,False,False,False
